CYBE,YBE,Uranium City Airport,59.561401,-108.481003,79
CYBF,YBY,Bonnyville Airport,54.299999,-110.739998,4118
CYBG,YBG,Saguenay Bagotville Airport,48.330551,-70.9963,11762
CYBK,YBK,Baker Lake Airport,64.298882,-96.077698,254
CYBL,YBL,Campbell River Airport,49.950829,-125.269997,16274
CYBQ,XTL,Tadoule Lake Airport,58.707954,-98.513443,131
CYBR,YBR,Brandon Municipal Airport,49.91,-99.951897,4734
CYBT,YBT,Brochet Airport,57.889439,-101.678001,96
CYBV,YBV,Berens River Airport,52.358696,-97.021408,337
CYBX,YBX,Lourdes-de-Blanc-Sablon Airport,51.439999,-57.18,851
CYCA,YRF,Cartwright Airport,53.682999,-57.033001,37
CYCB,YCB,Cambridge Bay Airport,69.108047,-105.138,402
CYCD,YCD,Nanaimo Airport,49.054443,-123.870003,26633
CYCG,YCG,Castlegar West Kootenay Regional Airport,49.296379,-117.632004,1784
CYCH,YCH,Miramichi Airport,47.007771,-65.449097,6429
CYCL,YCL,Charlo Airport,47.990829,-66.3302,1779
CYCO,YCO,Kugluktuk Airport,67.816658,-115.142998,278
CYCR,YCR,Cross Lake Airport,54.61306,-97.751442,1435
CYCY,YCY,Clyde River Airport,70.486107,-68.516602,215
CYDF,YDF,Deer Lake Regional Airport,49.210831,-57.3913,23141
CYDL,YDL,Dease Lake Airport,58.422218,-130.031998,171
CYDP,YDP,Nain Airport,56.533333,-61.666668,60
CYDQ,YDQ,Dawson Creek Airport,55.742329,-120.182999,4586
CYEG,YEG,Edmonton International Airport,53.309719,-113.579002,245371
CYEK,YEK,Arviat Airport,61.094158,-94.070801,199
CYER,YER,Fort Severn Airport,56.0177,-87.677505,430
CYEU,YEU,Eureka Airport,79.99472,-85.814102,15
CYEV,YEV,Inuvik Airport,68.304161,-133.481995,1287
CYFA,YFA,Fort Albany Airport,52.241669,-81.591667,377
CYFB,YFB,Iqaluit Airport,63.75639,-68.555801,20217
CYFC,YFC,Fredericton International Airport,45.868881,-66.537201,31614
CYFH,YFH,Fort Hope Airport,51.559345,-87.897957,466
CYFI,YFI,Fort MacKay Firebag Aerodrome,57.275833,-110.976669,2792
CYFJ,YTM,Mont Tremblant International Airport,46.409168,-74.779999,2649
CYFO,YFO,Flin Flon Airport,54.678051,-101.681,623
CYFT,YMN,Makkovik Airport,55.166668,-59.166668,42
CYGB,YGB,Gillies Bay Airport,49.700001,-124.533333,479
CYGH,YGH,Fort Good Hope Airport,66.26667,-128.649994,283
CYGK,YGK,Kingston Norman Rogers Airport,44.225269,-76.596901,14102
CYGL,YGL,La Grande Riviere Airport,53.625271,-77.704102,8755
CYGO,YGO,Gods Lake Narrows Airport,54.557701,-94.491173,522
CYGP,YGP,Gaspe Airport,48.775269,-64.4786,3838
CYGR,YGR,Iles-de-la-Madeleine Airport,47.424721,-61.778,3673
CYGT,YGT,Igloolik Airport,69.364441,-81.816299,423
CYGV,YGV,Havre-Saint-Pierre Airport,50.281944,-63.611111,2343
CYGW,YGW,Kuujjuarapik Airport,55.28138,-77.758003,2702
CYGX,YGX,Gillam Airport,56.358051,-94.708,2837
CYHC,CXH,Vancouver Harbour Water Airport,49.290829,-123.117966,13338
CYHD,YHD,Dryden Regional Airport,49.831661,-92.744102,6450
CYHH,YNS,Nemiscau Airport,51.691101,-76.135597,1105
CYHK,YHK,Gjoa Haven Airport,68.635551,-95.849701,365
CYHM,YHM,Hamilton John C. Munro International Airport,43.173611,-79.934998,42898
CYHO,YHO,Hopedale Airport,55.450001,-60.233002,36
CYHP,YHP,Poplar Hill Airport,52.1133,-94.2556,189
CYHR,YHR,Chevery Airport,50.459999,-59.630001,740
CYHU,YHU,Montreal Saint-Hubert Airport,45.517502,-73.416901,33470
CYHY,YHY,Hay River Merlyn Carter Airport,60.839722,-115.781998,3091
CYHZ,YHZ,Halifax Stanfield International Airport,44.880829,-63.508598,120304
CYIF,YIF,Saint-Augustin Airport,51.209721,-58.657501,228
CYIK,YIK,Ivujivik Airport,62.417221,-77.891945,223
CYIO,YIO,Pond Inlet Airport,72.683327,-77.966599,519
CYIV,YIV,Island Lake Airport,53.856998,-94.653999,537
CYJT,YJT,Stephenville International Airport,48.544159,-58.5499,1421
CYKA,YKA,Kamloops Airport,50.702221,-120.444,21826
CYKC,YKC,Collins Bay Airport,58.236099,-103.678001,270
